time_s,brut_N,filtered_N,applied_N,ressenti_N
1777972636.933030,0.1724106,0.1725544,0,0
1777972636.935010,0.2893603,0.1842465,0,0
1777972636.937010,0.2968657,0.1988458,0,0
1777972636.939040,0.2433717,0.2043089,0,0
1777972636.941060,0.2634576,0.2118697,0,0
1777972636.943050,0.2137237,0.2114967,0,0
1777972636.945040,0.2461753,0.2139309,0,0
1777972636.947070,0.3013582,0.2217339,0,0
1777972636.949100,0.3380919,0.2365281,0,0
1777972636.951040,0.3009817,0.2446283,0,0
1777972636.953060,0.1593201,0.2331247,0,0
1777972636.955040,0.1821234,0.2246159,0,0
1777972636.957000,0.173411,0.2179482,0,0
1777972636.959070,0.1752419,0.2065187,0,0
1777972636.961050,0.1449869,0.1984359,0,0
1777972636.963000,0.133484,0.1897367,0,0
1777972636.964980,0.2497401,0.1957086,0,0
1777972636.966990,0.2034311,0.1928197,0,0
1777972636.968980,0.1347692,0.184813,0,0
1777972636.970980,0.06457221,0.1673831,0,0
1777972636.973000,0.2496021,0.1778015,0,0
1777972636.974990,0.1475186,0.1727432,0,0
1777972636.976970,0.08561096,0.1592037,0,0
1777972636.978970,0.1356447,0.1432011,0,0
1777972636.980970,0.1937393,0.1344854,0,0
1777972636.983030,0.2009022,0.1427773,0,0
1777972636.984990,0.232438,0.1541758,0,0
1777972636.986960,0.1365564,0.1498352,0,0
1777972636.988990,0.220788,0.1582042,0,0
1777972636.990980,0.2060182,0.1590846,0,0
1777972636.992980,0.2529528,0.1689183,0,0
1777972636.994990,0.2051111,0.1679737,0,0
1777972636.996990,0.2030549,0.1709815,0,0
1777972636.998960,0.1808792,0.1715757,0,0
1777972637.000970,0.2233137,0.1776142,0,0
1777972637.003000,0.1222015,0.1702609,0,0
1777972637.004960,0.09898937,0.1604373,0,0
1777972637.006990,0.1212951,0.1543245,0,0
1777972637.009000,0.1661009,0.1490944,0,0
1777972637.010970,0.2476375,0.1609209,0,0
1777972637.012970,0.2325334,0.1693595,0,0
