time_s,brut_N,filtered_N,applied_N,ressenti_N
1782306436.917940,0.4416898,0.3433504,0,0
1782306436.920000,0.3840627,0.3473195,0,0
1782306436.921990,0.4131555,0.3535841,0,0
1782306436.923960,0.3212176,0.3493254,0,0
1782306436.925930,0.3632388,0.3503406,0,0
1782306436.927990,0.346286,0.3485503,0,0
1782306436.930010,0.3946195,0.3531283,0,0
1782306436.931970,0.4439383,0.3647041,0,0
1782306436.934000,0.4439383,0.374841,0,0
1782306436.935990,0.4564399,0.3850509,0,0
1782306436.937960,0.3717949,0.381201,0,0
1782306436.939970,0.4264051,0.3863055,0,0
1782306436.942010,0.4260721,0.3913538,0,0
1782306436.944010,0.3953108,0.3903657,0,0
1782306436.946020,0.3953108,0.3898705,0,0
1782306436.947930,0.4300669,0.3947661,0,0
1782306436.949930,0.4645468,0.4034674,0,0
1782306436.951970,0.33913,0.3950473,0,0
1782306436.953990,0.4053413,0.3960136,0,0
1782306436.955930,0.3873167,0.3943803,0,0
1782306436.957970,0.361474,0.3898454,0,0
1782306436.960020,0.361474,0.3859584,0,0
1782306436.961980,0.5311022,0.4046025,0,0
1782306436.963970,0.4441083,0.4096773,0,0
1782306436.965960,0.3974186,0.4080074,0,0
1782306436.967950,0.3950359,0.4045587,0,0
1782306436.970030,0.4179817,0.4057823,0,0
1782306436.971990,0.319665,0.3942477,0,0
1782306436.974020,0.319665,0.384281,0,0
1782306436.975970,0.4709608,0.394289,0,0
1782306436.977990,0.3982478,0.3927636,0,0
1782306436.979970,0.5264174,0.4085431,0,0
1782306436.981970,0.4732453,0.4152843,0,0
1782306436.983990,0.4732453,0.4216,0,0
1782306436.986000,0.5593194,0.4389161,0,0
1782306436.987960,0.4795237,0.4430108,0,0
1782306436.990040,0.4795237,0.4468789,0,0
1782306436.991950,0.3438473,0.4331138,0,0
1782306436.993970,0.3078954,0.4153115,0,0
1782306436.995980,0.5752228,0.4352871,0,0
1782306436.998000,0.3093838,0.4182752,0,0
1782306436.999960,0.3343382,0.4065281,0,0
1782306437.002020,0.3343382,0.3964776,0,0
1782306437.003940,0.257186,0.375007,0,0
1782306437.005920,0.3741485,0.3743277,0,0
1782306437.007920,0.3599631,0.372153,0,0
1782306437.009910,0.350627,0.3685646,0,0
1782306437.011930,0.4154667,0.3741417,0,0
1782306437.013920,0.2947639,0.3614017,0,0
1782306437.015970,0.2947639,0.3507968,0,0
1782306437.017910,0.2746239,0.3403946,0,0
1782306437.019960,0.3767509,0.3447463,0,0
1782306437.021960,0.3767509,0.3486302,0,0
1782306437.023930,0.3575197,0.3481892,0,0
